name,x,y,z,vx,vy,vz,age_gyr,m_prog
300S,-14.996293360632288,-6.341300409431804,12.200924000905436,-219.98590781633732,-104.09670894554469,70.39800428058872,1.2633272290325581,7403.092319600513
aau,-9.907759532235083,-1.0857662629027969,-18.552299159266028,78.34958384955387,182.3175620146923,113.42022498966486,2.517488150407693,17715.901691478954
C-12,-13.596483555761441,-8.353080371933764,-3.556896708579384,-71.78254813871398,6.318613739617921,-132.89321984470084,1.3810788068280664,14924.936040237859
C-13,-13.992975994426118,4.477146320314221,-2.955053014607307,-2.8806516350834683,137.85298638665654,144.18711710217016,2.1462942167033923,857.3784272634462
c19,-12.182298569979494,15.707205926304553,-9.692524337878561,56.692529246818786,-55.86054764465028,-122.08537966238212,3.571019047889153,2286.579319731223
C-20,-10.858819405667493,13.789494123780436,-16.851579845668127,15.219485999048318,307.61214677549003,205.03686968330808,2.4797361697940232,2629.6636727116133
C-23,-8.851754470869139,2.0808121058249176,8.741569622171623,-161.6122476722996,68.5480553868069,-176.87042920623267,2.776716824849562,318.56645583282017
C-24,-15.400859786382496,4.0913370533097435,10.31270535616485,78.18311192885723,221.18066854356755,11.971889956559542,2.3825606973226,8932.242927549456
C-7,-1.2058303385109461,-1.8929153223700297,-2.755397855892791,95.87356195859851,-339.8491389614028,309.577504353001,0.6308765846181517,1863.1778548303505
gd1,-12.484144078594696,0.00720607992464517,6.261514875525582,-71.05813416538996,-214.57029003578054,-114.74724521065625,2.599415207569183,23379.01078708033
Gaia-1,-6.490997503352727,-2.7523356596128807,4.429149461573408,-21.113698235700035,-409.6588421997839,-130.32294373006454,1.0938801669295042,936.7667273800566
Gaia-12,-18.764778592698107,4.658396719299428,-9.123700442824363,91.85753679157735,-367.34756404918977,87.51124685844161,3.1730089535883956,2118.6089282557323
Gaia-6,-6.284105712442361,2.6476256998638577,9.24824348920258,-56.17204806017804,-335.457058801175,-99.23592936936656,0.7076581997600142,1764.846189885703
Gaia-8,-5.462235067082969,-4.61902783549605,4.879768258221145,-115.76366305761981,-171.736856182403,-126.95288223689302,1.7433564944824183,3440.378909986794
jet,-17.806122300878584,-28.168067684031378,8.773655302758453,7.876750223201231,-65.84786729918034,-106.16378612431582,3.8537851132725245,41625.82411778962
Kshir,-10.222177628157006,7.224243218354005,7.350413148648098,-93.30732884833405,-192.41821346788518,33.932182201508674,3.46423936304846,2000.1352238112531
m3,-4.4771491375984755,3.3809473715491123,6.234858242661406,115.88439360603759,90.61277762964873,-248.4402626937964,2.260391797946625,2085.2295884706473
NGC 3201,-7.553949915989867,-4.844276426922262,0.7274778457538543,251.8589119187095,-208.72200304291533,148.94178264483392,2.3955168144099392,2542.0185259661826
NGC 5466,-4.560400830697258,2.7903336453311054,13.571391711095993,-192.75803215967926,-15.212950604094278,208.22701953680033,1.2259246296048953,2091.259845803053
NGC 5824,-22.514977971355812,14.458517619105558,-14.823860845885557,-74.53125000835112,151.62162917902555,58.93390967735205,2.718533756643159,5775.134528064481
NGC 6101,2.6080430688880725,-9.782835782196782,-4.106968613247154,294.0987138902076,78.52470761891335,-197.63282502375955,0.7150819612730626,3084.084159440072
NGC 7492,-2.3982946065570188,7.570947114357683,-19.39747197706262,29.317237741172057,-56.86991352692884,48.7143023709284,2.0825484055551167,4038.772313483778
New-13,-7.303687456835504,-5.485845895282414,1.7353445962613194,83.99529170661535,-311.0607797253293,-121.02657746978794,1.4812974834002266,271.46354590223547
New-4,-13.468308352766286,-10.87096137077857,-6.279362088844422,-19.5959815811822,46.25566708643407,171.83242603498755,3.042422625640256,1087.986122164803
pa5,6.560307554591288,0.5463314085703045,14.874685053085969,-39.195075218824215,-124.70324581743922,-9.507357539942179,3.469235145548915,15646.15403527553
Phoenix,-6.7051560846701594,-6.4142698364370405,-15.16734101065062,-139.65411032340992,90.23942079522439,10.275475841297183,3.0899913482187458,2641.890033834466
Ylgr,-6.587509039662309,-8.047754495026467,6.238726294572494,216.0133995054821,-195.68872415252062,-75.26656267387013,1.3921837771088421,8223.015424625972
